ANDHRA PRADESH,1.3909709607309,1.4177263284131505,1.512100419238048,2.4170549891484074,1.9949728354945544,2.301994355399178,1.932661555600225,2.231574325075666
ARUNACHAL PRADESH,2.5223372084901787,2.613544960958377,2.8456738014786778,3.363983853985167,2.6415699788444993,2.7018727918833325,2.7851590099614123,2.9042762612298194
ASSAM,1.8551348781386103,1.6459989838272229,1.6990531890691396,2.02591923953276,1.9862076298799662,1.9050805368396424,1.8154291444928738,2.1648817812986083
BIHAR,1.1476599633751672,0.5663977270154017,0.6735005003540021,1.007663034102391,1.0645549650622665,0.7702737352718529,0.7617023885657986,1.1688592361345258
CHHATTISGARH,2.538876881095842,2.0664213426099116,1.888785154188863,2.32382506228954,2.3713289383260427,2.1325928004098684,1.894664917632738,2.2981333560395827
GOA,1.9266369614471812,2.1283589660354,1.9197659812962427,2.2982292267314275,2.097141663806622,1.5058387113800868,1.9344094673914238,2.118792171211672
GUJARAT,1.1612320640916938,1.149560074537529,0.9900511168464481,1.2495277519173082,1.4956651118235755,1.306470161769703,1.217751871891979,1.1830146503145942
HARYANA,2.5914639216051243,2.254425821359139,2.0790971902086817,2.2519050623765375,2.4560293511652236,1.9634604630872863,1.9295180270808094,2.447733461799126
HIMACHAL PRADESH,2.009726395736783,2.015692257381514,1.8342672253395635,2.373901084634335,2.1059091691680925,2.084088833620314,1.9260650755597215,2.0924572194027444
JAMMU AND KASHMIR,2.486412674363477,1.7967685340560942,2.1096277255273397,2.4135429531596184,2.441344579663764,2.2282142834606544,1.9530026640444664,2.397524699116828
JHARKHAND,1.7492227611077915,1.7725989721587951,1.4982379597138493,1.810376878935682,1.5844840424529913,1.1575884987993663,1.2791439104959288,1.4477789734853086
KARNATAKA,1.4258972024672452,1.308029885610373,1.14672571383524,2.025557621150807,2.263425440586013,2.169250462703701,2.1536116037957216,2.419005093376589
KERALA,2.5026168384727985,2.5490285866092806,2.544802608365872,2.6221791124339084,2.5798870040759065,2.5256185952663386,2.398440430087697,2.5465000513092564
MADHYA PRADESH,1.6636313134899088,1.625371060337959,1.4831873430217466,1.866808614679285,2.1116316678887346,1.8631463109461317,1.5894248665115724,1.9832865043674852
MAHARASHTRA,1.3853339091180752,1.4123464382073587,1.3039672581951576,1.5918645837370038,1.5902938303843266,1.5227889881965497,1.3587008429979601,1.5457544339369114
MANIPUR,3.186480097188826,3.2910366092719494,3.2619912136223426,3.605941493075382,3.2820091750868814,3.263444356805791,3.378554569324202,3.3728981696952554
MEGHALAYA,2.930897439799635,2.836860336393617,2.84303129250225,3.220887057520084,2.902287976349055,3.005351486896886,2.9978363283524248,2.9907278905249046
MIZORAM,3.181819442109982,2.8563690792593133,3.3857406159963226,3.619583230197889,3.3607236557110367,3.3711114900043233,3.418635935340311,3.3692147485392003
NAGALAND,3.24180830001674,3.296860401993074,3.3103990968595554,3.5497307666617717,3.1956246154377768,3.000332216702448,3.1504646911116705,3.0420308585397144
ODISHA,1.4140875774612789,1.455321922263711,1.6295292248285658,1.7855593901634377,1.860064833014492,1.7274114747330565,1.7095643441118424,1.9597418878596002
PUNJAB,2.1106160093929165,1.9315575456087486,2.117414710690831,2.299019827940502,2.369884313111742,1.863737342168609,1.8720956968635059,2.3846374676675377
RAJASTHAN,1.4992979799113402,1.6163496875496435,1.5299755768894454,2.155278196524878,1.879684955400689,1.7039662304661638,1.745975901154745,2.2086459642973963
SIKKIM,2.7048301221501534,2.6138454070862203,2.8029288491666557,3.310681523781653,2.910722303748795,2.734482082188998,2.5944444097485455,2.7791528446105715
TAMIL NADU,2.700042804302043,2.8083754863809345,2.747620201797735,3.143650429329649,2.6974970192811982,2.6242192689269013,2.5060736130379584,2.6616988230778995
TRIPURA,3.1594623861571662,3.132606226588198,3.1192994781882164,3.4779141634234487,2.9896849002794834,2.9444951051329458,2.991617579026667,2.9242881480746714
UTTAR PRADESH,1.7995655684286724,1.5824994771847019,1.4271999927943448,1.8254511281289694,1.7354582361956723,1.4688632914661466,1.3205039254772404,1.524814253724103
UTTARAKHAND,2.0233025595042378,2.003380891083008,1.9880307222224665,2.4444534766803727,2.243536753012884,2.078695396913212,2.020455923196592,2.299624781177772
WEST BENGAL,2.257003673635899,2.1706588556199917,2.261930544880955,2.4371221206668485,2.205919387524932,1.9955106119702761,2.020096233245016,2.307415884084844
ANDAMAN AND NICOBAR,2.4179021142691717,2.2712818513821835,2.0933792139700937,2.700923334433092,2.2187289754932378,1.7431324006440114,1.6378022134377936,1.955867307522627
LAKSHADWEEP,0.9098890695757518,1.7331499781845854,1.1559703229040312,1.0,0.11786372007366483,1.318769295410776,1.1770537326399824,0.6877323420074349
PUDUCHERRY,2.0438684259352518,1.673125180264448,1.840112598414414,2.194890762221568,2.390693118465094,2.0253435535600617,2.062199747681691,2.4241899578501713
